Date,Category,Merchant/Description,Amount,Bank
2025-11-28,Eating Out,Hyderabad Biryani Point Ottawa 020,18.63,Scotiabank
2025-11-28,Other,Ottawa Outlets Ottawa 020,160.46,Scotiabank
2025-11-28,Other,Columbia Sportswear London 020,36.74,Scotiabank
2025-11-28,Other,Under Armour Ottawa 020,29.36,Scotiabank
2025-11-28,Other,Gap Ottawa 020 (Apple Pay),18.07,Scotiabank
2025-11-28,Other,Old Navy Ottawa 020,93.76,Scotiabank
2025-11-27,Other,Calvin Klein Toronto 020,122.31,Scotiabank
2025-11-27,Other,Levi's Markham 020,16.88,Scotiabank
2025-11-27,Other,Ottawa Outlets Ottawa 020,126.56,Scotiabank
2025-11-27,Other,Uniqlo Toronto 020,111.83,Scotiabank
2025-11-26,Other,Coatsco Nepean 020,97.29,Scotiabank
2025-11-26,Other,Bayshore Iso Ottawa 020,99.44,Scotiabank
2025-11-26,Other,Levi's Markham 020,319.94,Scotiabank
2025-11-24,Retail,Walmart Kanata 020 (Apple Pay),10.07,Scotiabank
2025-11-24,Retail,Walmart Kanata 020 (Apple Pay),2.45,Scotiabank
2025-11-22,Subscriptions,Chatgpt Plus San Francisco065,31.93,Scotiabank
2025-11-22,Retail,Dollarama Kanata 020 (Apple Pay),2.83,Scotiabank
2025-11-22,Other,Saunders Cider Ottawa 020,13.56,Scotiabank
2025-11-21,Other,Shell Kanata 020 (Apple Pay),54.24,Scotiabank
2025-11-20,Other,Mcdonald's Stittsville 020,16.35,Scotiabank
2025-11-20,Retail,Walmart Kanata 020,120.34,Scotiabank
2025-11-19,Other,Kal Tire Kanata 020,41.81,Scotiabank
2025-11-19,Other,Dropbox San Francisco065,18.07,Scotiabank
2025-11-12,Retail,Dollarama Kanata 020,31.64,Scotiabank
2025-11-11,Other,Popeye's Ottawa 020,11.3,Scotiabank
2025-11-11,Other,Youtube Music G.Co/Helppay#019,12.42,Scotiabank
2025-11-07,Other,Tailgators Ottawa 020,14.69,Scotiabank
2025-11-06,Other,Tailgators Ottawa 020,58.76,Scotiabank
2025-11-05,Other,Aroma Indian Cuisine Gloucester 020 (Apple Pay),66.22,Scotiabank
2025-11-05,Groceries,Shoppers Drug Mart Ottawa 020 (Apple Pay),16.94,Scotiabank
2025-11-04,Other,Rang De Indian Cuisine Kanata 020,22.6,Scotiabank
2025-11-03,Groceries,Shoppers Drug Mart Kanata 020 (Apple Pay),9.89,Scotiabank
2025-11-02,Other,Ikea Ottawa 020 (Apple Pay),1.58,Scotiabank
2025-11-02,Other,Ikea Ottawa 020,89.58,Scotiabank
2025-11-02,Other,Tommy Gun Barber Shop Nepean 020,47.83,Scotiabank
2025-11-02,Other,Shell Kanata 020,49.97,Scotiabank
2025-11-02,Other,Mind Games Bayshore Nepean 020,33.88,Scotiabank
