Date,Category,Merchant/Description,Amount,Bank
2025-11-27,Wholesale,Pos Purchase Costco Wholesale W541 Kanat,208.52,Scotiabank
2025-11-27,Transfers,Deposit Free Interac E-Transfer,-150.0,Scotiabank
2025-11-18,Transfers,Withdrawal Free Interac E-Transfer,20.0,Scotiabank
2025-11-17,Fees,Service Charge Monthly Fees,3.95,Scotiabank
2025-11-17,Credit/Income,Overdraft Interest,-0.01,Scotiabank
2025-11-15,Transfers,Deposit Free Interac E-Transfer,-20.0,Scotiabank
2025-11-12,Wholesale,Pos Purchase Fpos Costco Wholesale W54kanat,9.03,Scotiabank
2025-11-12,Wholesale,Pos Purchase Fpos Costco Wholesale W54kanat,22.59,Scotiabank
2025-11-12,Wholesale,Pos Purchase Costco Wholesale W541 Kanat,251.73,Scotiabank
2025-11-12,Refund,Pos Return Costco Wholesale W541 Kanat,-33.88,Scotiabank
2025-11-12,Transfers,Withdrawal Free Interac E-Transfer,50.0,Scotiabank
2025-11-03,Transfers,Deposit Free Interac E-Transfer,-65.25,Scotiabank
2025-11-03,Income,Deposit,-462.34,Scotiabank
2025-11-01,Other,Overdraft Protect. Fee Pay-Per-Use Odp Plan,5.0,Scotiabank
2025-11-01,Wholesale,Pos Purchase Costco Wholesale W541 Kanat,543.4,Scotiabank
2025-11-01,Transfers,Deposit Free Interac E-Transfer,-300.0,Scotiabank
