Date,Category,Merchant/Description,Amount,Bank,IsBookkeeping
2025-12-31,Other,Rang De Indian Cuisine Kanata 020,85.88,Scotiabank,False
2025-12-28,Other,Freshco Nepean 020,29.59,Scotiabank,False
2025-12-27,Subscriptions,Amazon Prime Amazon.Ca/Pri015,11.29,Scotiabank,False
2025-12-26,Retail,Amazon 866-216-1072 020,34.57,Scotiabank,False
2025-12-26,Other,Shell Kanata 020,54.89,Scotiabank,False
2025-12-26,Other,Alamo Rent A Car Ottawa 020,63.07,Scotiabank,False
2025-12-25,Other,Boutique Tremblant Mont-Tremblan022,9.47,Scotiabank,False
2025-12-25,Other,Billie Le Kid Mont Trembl Mont-Tremblan022,51.53,Scotiabank,False
2025-12-24,Other,Ultramar Louiseville 022,47.42,Scotiabank,False
2025-12-24,Other,Mcdonald's Louiseville 022,6.9,Scotiabank,False
2025-12-23,Credit/Income,Interest Charges,-15.12,Scotiabank,False
2025-12-23,Eating Out,Tim Hortons Quebec 022 (Apple Pay),16.0,Scotiabank,False
2025-12-22,Other,Couche Tard Laurier-Stati022,67.78,Scotiabank,False
2025-12-22,Other,Agence De Mobilite Durable Montreal 022,4.0,Scotiabank,False
2025-12-22,Other,La Mission Saiva Du Qu La Dollard-Des-0022,20.0,Scotiabank,False
2025-12-22,Subscriptions,Chatgpt Plus San Francisco065,31.2,Scotiabank,False
2025-12-22,Other,Spaq Quebec 022,18.0,Scotiabank,False
2025-12-21,Other,Zara Ottawa 020 (Apple Pay),20.9,Scotiabank,False
2025-12-21,Other,Payment From - *****09*44 25,2480.0,Scotiabank,False
2025-12-21,Other,Payment From - *****09*44 25,1600.0,Scotiabank,False
2025-12-19,Retail,Walmart Kanata 020 (Apple Pay),25.86,Scotiabank,False
2025-12-19,Other,Dropbox San Francisco065,18.07,Scotiabank,False
2025-12-17,Other,Airbnb London 318,226.28,Scotiabank,False
2025-12-16,Retail,Walmart Ottawa 020 (Apple Pay),41.04,Scotiabank,False
2025-12-15,Other,Scotiabank Transit Kanata On,10.0,Scotiabank,False
2025-12-14,Groceries,Shoppers Drug Mart Kanata 020 (Apple Pay),26.3,Scotiabank,False
2025-12-14,Retail,Amazon 866-216-1072 020,27.65,Scotiabank,False
2025-12-14,Other,City Of Ottawa Ottawa 020 (Apple Pay),2.0,Scotiabank,False
2025-12-14,Other,Shell Kanata 020 (Apple Pay),43.28,Scotiabank,False
2025-12-14,Other,Gap Ottawa 020 (Apple Pay),18.07,Scotiabank,False
2025-12-14,Retail,Walmart Orleans 020 (Apple Pay),9.01,Scotiabank,False
2025-12-14,Retail,Walmart Orleans 020 (Apple Pay),32.14,Scotiabank,False
2025-12-14,Retail,Walmart Orleans 020 (Apple Pay),59.12,Scotiabank,False
2025-12-13,Other,Mountain Warehouse Kanata 020 (Apple Pay),99.54,Scotiabank,False
2025-12-13,Other,Beneplace Aventura 069,525.55,Scotiabank,False
2025-12-13,Other,Under Armour Ottawa 020 (Apple Pay),29.36,Scotiabank,False
2025-12-12,Eating Out,Hyderabad Biryani Point Ottawa 020,55.36,Scotiabank,False
2025-12-12,Other,Canot A Glace Experience Quebec 022,457.6,Scotiabank,False
2025-12-11,Retail,Amazon 866-216-1072 020,24.85,Scotiabank,False
2025-12-11,Retail,Walmart Ottawa 020,32.43,Scotiabank,False
2025-12-11,Other,Airbnb London 318,741.36,Scotiabank,False
2025-12-11,Other,Uniqlo Toronto 020,86.02,Scotiabank,False
2025-12-08,Other,Ikea Ottawa 020,24.84,Scotiabank,False
2025-12-08,Retail,Walmart Kanata 020,74.78,Scotiabank,False
2025-12-07,Other,Metro Kanata 020 (Apple Pay),18.48,Scotiabank,False
2025-12-04,Other,Beneplace Aventura 069,532.64,Scotiabank,False
2025-12-02,Other,Shawarma House Kanata 020 (Apple Pay),15.99,Scotiabank,False
2025-12-01,Other,Thai Express Kanata 020 (Apple Pay),6.72,Scotiabank,False
